Word,Score
mb,20
m,20
mm,20
mo,20
om,20
ma,20
b,20
mba,20
aaa,20
boom,20
mom,20
bm,20
ab,20
bb,20
bob,20
ba,20
ob,20
o,20
bo,20
mambo,20
ooo,20
am,20
bomb,20
oo,20
a,20
aa,20
alabama,23
bloom,24
lamb,25
memo,25
mono,25
adam,25
emma,25
oman,25
moon,25
doom,25
babe,25
beam,25
bool,25
mood,25
dom,27
mlb,27
mon,27
obj,27
dam,27
bow,27
oem,27
mem,27
mad,27
ala,27
aol,27
amanda,27
job,27
ana,27
lab,27
ban,27
bon,27
man,27
bmw,27
mod,27
abu,27
lambda,27
bad,27
banana,27
amd,27
nam,27
ada,27
jam,27
nba,27
mae,27
wma,27
adobe,28
gamma,28
blame,28
blood,28
modem,28
woman,28
album,28
bobby,28
boolean,29
madonna,29
balloon,29
mu,30
au,30
em,30
noon,30
bd,30
an,30
dm,30
bowl,30
dana,30
al,30
ml,30
blow,30
wool,30
bold,30
arab,30
lb,30
abroad,30
nano,30
mw,30
wm,30
loan,30
bond,30
mn,30
ball,30
nb,30
ad,30
alan,30
demo,30
lm,30
mean,30
on,30
band,30
ae,30
wood,30
bw,30
na,30
made,30
mj,30
mode,30
anna,30
lo,30
joan,30
ea,30
male,30
be,30
nm,30
manual,30
jm,30
bone,30
ja,30
ol,30
load,30
meal,30
bald,30
mall,30
md,30
wb,30
room,30
dumb,30
mold,30
baby,30
aj,30
um,30
bean,30
no,30
me,30
name,30
la,30
dome,30
do,30
wa,30
bl,30
bubble,30
able,30
ou,30
da,30
dame,30
aw,30
oe,30
db,30
bedroom,31
abandoned,31
moldova,31
lebanon,31
broadband,31
barbara,31
download,32
omega,32
medal,32
maybe,32
women,32
omaha,32
aruba,32
blond,32
aaron,32
among,32
manga,32
above,32
roman,32
moral,32
allow,32
alone,32
blade,32
alarm,32
amber,32
lobby,32
membrane,32
labor,32
broad,32
allan,32
bound,32
downloadable,32
lemon,32
drama,32
manor,32
samoa,32
combo,32
major,32
donna,32
moore,32
model,32
wanna,32
amend,32
board,32
below,32
samba,32
named,32
noble,32
label,32
ann,33
ram,33
manage,33
amy,33
wan,33
bra,33
unable,33
mag,33
bloomberg,33
global,33
rom,33
bay,33
norman,33
low,33
mar,33
don,33
double,33
ago,33
monaco,33
own,33
monday,33
donald,33
non,33
annual,33
bag,33
odd,33
wooden,33
batman,33
aud,33
joe,33
blonde,33
law,33
marble,33
dna,33
enable,33
leo,33
mel,33
dem,33
men,33
old,33
med,33
lou,33
loaded,33
common,33
andale,33
arm,33
eau,33
london,33
analog,33
dan,33
bar,33
bed,33
demand,33
rob,33
one,33
bee,33
lol,33
nobody,33
may,33
dow,33
damage,33
gba,33
jon,33
angola,33
web,33
newman,33
now,33
dod,33
wow,33
jan,33
normal,33
panama,33
ben,33
duo,33
add,33
dad,33
banned,33
doe,33
won,33
mud,33
neo,33
member,33
boy,33
lan,33
module,33
wal,33
albany,33
all,33
una,33
and,33
enb,33
monroe,33
labour,33
random,33
allowed,34
brandon,34
bermuda,34
enabled,34
montana,34
managed,34
labeled,34
solomon,34
modular,34
damaged,34
downloaded,34
orlando,34
abraham,34
amended,34
command,34
myanmar,34
motorola,35
away,35
body,35
moms,35
been,35
lawn,35
barn,35
good,35
neon,35
joel,35
manually,35
bend,35
blog,35
warm,35
doll,35
lane,35
lean,35
barbados,35
land,35
done,35
oval,35
soma,35
wall,35
boat,35
atom,35
momentum,35
baseball,35
dale,35
embedded,35
bell,35
menu,35
owen,35
jade,35
rome,35
undo,35
door,35
lone,35
juan,35
mrna,35
leon,35
dead,35
brad,35
dawn,35
norm,35
avon,35
valuable,35
bare,35
loud,35
blue,35
broadway,35
roommate,35
dual,35
down,35
dean,35
boot,35
lead,35
game,35
born,35
basename,35
bear,35
more,35
nova,35
road,35
logo,35
bull,35
worm,35
ebay,35
node,35
anne,35
jean,35
comm,35
move,35
area,35
java,35
mega,35
oral,35
deal,35
none,35
goal,35
bang,35
guam,35
jane,35
many,35
babes,36
mayor,36
laden,36
about,36
arbor,36
gnome,36
would,36
bored,36
bacon,36
owned,36
badge,36
began,36
naval,36
alloy,36
added,36
urban,36
jacob,36
malta,36
realm,36
armor,36
badly,36
logan,36
leone,36
bread,36
mason,36
money,36
blend,36
moved,36
allen,36
brand,36
aware,36
along,36
adams,36
wound,36
belle,36
melbourne,36
brown,36
globe,36
gonna,36
ebony,36
laura,36
wagon,36
award,36
arena,36
armed,36
donor,36
removable,36
dream,36
anyone,37
coleman,37
moment,37
leonard,37
volume,37
banner,37
awarded,37
rwanda,37
become,37
anatomy,37
jordan,37
someone,37
tobago,37
bundle,37
raymond,37
angela,37
ampland,37
modems,37
arnold,37
roland,37
albania,37
removal,37
auburn,37
memory,37
saddam,37
broader,37
grammar,37
bureau,37
andorra,37
anybody,37
manuals,37
bahamas,37
toolbar,37
deemed,37
amazon,37
beyond,37
genome,37
albums,37
webcam,37
algebra,37
adware,37
uganda,37
manner,37
modern,37
number,37
nevada,37
mumbai,37
dollar,37
agenda,37
namely,37
mailman,37
anymore,37
became,37
reload,37
pamela,37
emerald,37
around,37
belong,37
canada,37
rebound,37
amount,37
ronald,37
aurora,37
manager,37
weblog,37
boulder,37
awesome,37
apollo,37
salmon,37
durable,37
journal,37
ballot,37
balance,37
andrea,37
morgan,37
yamaha,37
mandate,37
lauderdale,38
downloads,38
boundary,38
anonymous,38
colorado,38
annually,38
homeland,38
aberdeen,38
renewable,38
commander,38
mcdonald,38
bedrooms,38
cameroon,38
edmonton,38
volleyball,38
amendment,38
maryland,38
boulevard,38
remember,38
allowance,38
balanced,38
ambassador,38
snowboard,38
commonly,38
handmade,38
normally,38
reasonable,38
delaware,38
remembered,38
guatemala,38
tramadol,38
management,38
somebody,38
november,38
barcelona,38
japan,40
moderator,40
lounge,40
museum,40
beta,40
moreover,40
reasonably,40
near,40
den,40
base,40
jason,40
world,40
belly,40
delay,40
dd,40
eval,40
lu,40
wu,40
yellow,40
led,40
loans,40
rand,40
lauren,40
go,40
maple,40
end,40
val,40
mount,40
bolt,40
demands,40
tomato,40
palm,40
problem,40
members,40
carbon,40
overall,40
same,40
manitoba,40
donated,40
dylan,40
wonder,40
dragon,40
geo,40
abuse,40
ear,40
debug,40
delayed,40
romania,40
gm,40
oregon,40
sao,40
rna,40
barely,40
burden,40
radar,40
reno,40
ul,40
autumn,40
el,40
ballet,40
canal,40
amino,40
buy,40
soa,40
data,40
cab,40
combat,40
suburban,40
n,40
av,40
movement,40
automobile,40
gale,40
love,40
une,40
rb,40
camera,40
jun,40
nato,40
danny,40
tom,40
amp,40
novel,40
yo,40
tab,40
domain,40
ar,40
moderate,40
alot,40
metadata,40
blvd,40
